.academy,academic institutes
.accountants,accountants and accounting firms
.actor,actors
.aero,air-transport industry
.agency,business associations
.associates,business associations
.audio,stereo/sound systems, music
.bar,bars and pubs
.bargains,coupons and online sellers
.beer,beer
.bid,auctions
.bike,bicycles
.bio,biodiversity, biographies
.biz,business
.black,those who like black[29]
.blackfriday,Black Friday, retail
.blue,those who like blue[30]
.boutique,specialized businesses
.build,construction industry
.builders,construction workers
.buzz,marketing and social networking
.cab,cabs and taxi companies
.camera,camera-related businesses
.camp,camps and camping
.capital,financial firms
.cards,general
.care,healthcare industry
.careers,Employment
.cash,financial
.catering,Food service
.center,general
.ceo,CEOs
.cheap,Resellers
.christmas,Christmas
.church,churches
.claims,retail, auctions
.cleaning,Cleaning services
.clinic,healthcare clinics
.clothing,Apparel
.club,groups, organizations, assemblies
.codes,computer and/or encryption code enthusiasts
.coffee,cafés and coffee aficionados
.college,Educational
.community,social groups, neighborhoods
.company,business associations
.computer,Technology
.condos,Real estate
.construction,Construction industry
.consulting,hired advisors
.contractors,Remodeling and independent businesses
.cooking,sharing recipes
.cool,General interests
.coop,Cooperatives
.country,general
.credit,Financial institutions
.creditcard,Financial institutions
.cruises,Cruise businesses and travel
.dance,Dance studios and companies
.date,Online dating
.dating,Online dating
.deals,online shopping and couponing
.democrat,Democractic Partypolitics
.dental,dentists
.diamonds,diamond and jewelry industry
.digital,general
.direct,general
.directory,general directory
.discount,general
.domains,domain registries
.education,educational institutes
.email,Email
.engineering,engineering firms
.enterprises,business associations
.equipment,equipment-related businesses
.estate,real estate businesses
.events,happenings
.exchange,generic trade
.expert,generic expertise
.exposed,general interest
.fail,general
.farm,farms and agriculture
.finance,financial
.financial,financial
.fish,fishing businesses, sports, and interests
.fishing,fishing businesses, sports, and interests
.fitness,Fitness and exercise
.flights,airline businesses and travel
.florist,florists
.foo,web development
.foundation,charitable organizations
.fund,financial
.furniture,furniture businesses
.futbol,soccer
.gallery,photo and art galleries
.gift,gift-giving
.glass,Windows and pipes
.global,general
.gop,Republican Partypolitics
.graphics,Graphics
.gratis,Spanish for "free"
.gripe,Opinion sites
.guide,Help sites
.guitars,Guitars
.guru,Generic expertise
.haus,German for "house"
.hiphop,Hip hop culture
.hiv,AIDS and HIV
.holdings,real estate or financial business
.holiday,holiday gift industry
.horse,horse-related businesses and interest
.host,network companies
.house,real estate and construction businesses
.immobilien,German for "real estate"
.industries,industrial businesses
.info,information
.ink,creative printing or tattooing[37]
.institute,Established business associations
.insure,Insurance companies
.international,international entities
.investments,financial
.jetzt,German for "now"
.jobs,Employment
.juegos,Spanish for "games"
.kaufen,German for "buy"
.kitchen,food industry and remodeling
.kim,people named Kim,
.land,real estate
.lease,financing
.life,general
.lighting,lighting
.limited,general
.limo,limousine businesses
.link,connecting to information[39]
.loans,Banks and lenders
.luxury,businesses catering to the wealthy
.maison,French for "house"
.management,business management
.marketing,marketing services
.media,general media interests
.menu,restaurants
.mobi,mobile devices
.moda,Italian and Spanish for "fashion"
.moe,Japanese otaku culture
.museum,museums
.name,individuals, by name
.ninja,general expertise
.onl,online
.organic,organic gardeners, farmers, foods, etc
.partners,businesses
.parts,manufacturing and consumer auto
.photo,photography and photo-sharing
.photography,photography and photo-sharing
.photos,photography and photo-sharing
.pics,photography and photo-sharing
.pictures,photography and photo-sharing
.pink,those who like pink
.place,general
.plumbing,plumbing businesses
.post,postal services
.press,publishing and journalism
.pro,professions
.productions,studio/art businesses
.products,retail or whole-sale businesses
.properties,real estate
.pub,bars and pubs
.recipes,recipes and cooking
.red,those who like red[44]
.reise,German for "travel"
.reisen,German for "travel"
.ren,Renren users
.rentals,short-term ownership
.repair,general repair/maintenance businesses
.report,business services
.republican,Republican Partypolitics
.rest,restaurants
.reviews,Public reviews
.rich,businesses catering to the wealthy
.rocks,general
.rodeo,Rodeo interest
.schule,German for "school"
.services,business services
.sexy,adult entertainment
.shiksha,education entities in India
.shoes,shoes
.singles,online dating
.social,general interest
.solar,solar-power
.solutions,business services
.space,space
.supplies,manufacturing industries
.supply,manufacturing industries
.support,help pages
.surf,Surfing
.surgery,healthcare industry
.systems,technology
.tattoo,tattoo aficionados
.tax,financial
.technology,technology
.tel,Internet communication services
.tienda,Spanish for "shop", "store"
.tips,general help topics
.today,general
.tools,manufacturing industries
.town,generic geographic
.toys,toy businesses
.trade,businesses
.training,training and how-tos
.travel,travel and tourism industry related sites
.university,young adults, university life
.uno,Spanish websites targeting Latino consumers
.vacations,travel
.versicherung,German for "insurance"
.ventures,funding for start-ups
.viajes,Spanish for "travel"
.villas,real estate and/or travel businesses
.vision,eye-care businesses
.vodka,Vodka-related businesses and interest
.voting,polling sites
.voyage,travel
.wang,general
.watch,Watches
.webcam,Web cam shows and video sharing
.website,generic
.wed,engaged couples and wedding-oriented businesses
.wiki,wikis
.works,General interests
.wtf,general
.xxx,adult entertainment (pornography)
.xyz,general
.zone,general
